Season,HomeTeam,AwayTeam,home_rest_days_all,away_rest_days_all,home_matches_last_14_all,away_matches_last_14_all,home_played_euro_last_5,away_played_euro_last_5,diff_rest_days_all,diff_matches_last_14_all,diff_played_euro_last_5
2016_2017,Watford,Southampton,7.0,6.0,1,1,0,0,1.0,0,0
2016_2017,West Brom,Crystal Palace,7.0,7.0,1,1,0,0,0.0,0,0
2016_2017,Sunderland,Man City,8.0,4.0,1,2,0,0,4.0,-1,0
2016_2017,Tottenham,Everton,7.0,8.0,3,1,0,0,-1.0,2,0
2016_2017,West Ham,Chelsea,9.0,9.0,1,1,0,0,0.0,0,0
2016_2017,Man City,Stoke,3.0,4.0,2,2,0,0,-1.0,0,0
2016_2017,Bournemouth,West Ham,7.0,5.0,2,2,0,0,2.0,0,0
2016_2017,Everton,West Brom,6.0,7.0,2,2,0,0,-1.0,0,0
2016_2017,Hull,Swansea,7.0,7.0,2,2,0,0,0.0,0,0
2016_2017,Liverpool,Burnley,8.0,8.0,2,1,0,0,0.0,1,0
2016_2017,Bournemouth,Swansea,7.0,7.0,2,2,0,0,0.0,0,0
2016_2017,Crystal Palace,Watford,14.0,14.0,1,1,0,0,0.0,0,0
2016_2017,Everton,Hull,7.0,7.0,2,2,0,0,0.0,0,0
2016_2017,Stoke,Chelsea,10.0,5.0,2,2,0,0,5.0,0,0
2016_2017,Sunderland,Burnley,13.0,6.0,1,2,0,0,7.0,-1,0
2016_2017,West Brom,Arsenal,7.0,7.0,2,3,0,0,0.0,-1,0
2016_2017,West Ham,Leicester,7.0,4.0,2,2,0,1,3.0,0,-1
2016_2017,Man City,Liverpool,4.0,7.0,4,1,1,0,-3.0,3,1
2016_2017,Middlesbrough,Man United,8.0,3.0,1,3,0,1,5.0,-2,-1
2016_2017,Tottenham,Southampton,7.0,15.0,2,0,0,0,-8.0,2,0
2016_2017,Burnley,Tottenham,14.0,13.0,1,1,0,0,1.0,0,0
2016_2017,Chelsea,Crystal Palace,14.0,14.0,1,1,0,0,0.0,0,0
2016_2017,Hull,West Ham,14.0,14.0,1,1,0,0,0.0,0,0
2016_2017,Leicester,Stoke,14.0,14.0,1,1,0,0,0.0,0,0
2016_2017,Liverpool,Everton,13.0,14.0,1,1,0,0,-1.0,0,0
2016_2017,Man United,West Brom,13.0,14.0,1,1,0,0,-1.0,0,0
2016_2017,Southampton,Bournemouth,13.0,14.0,1,1,0,0,-1.0,0,0
2016_2017,Watford,Sunderland,14.0,14.0,1,1,0,0,0.0,0,0
2016_2017,Arsenal,Man City,15.0,14.0,0,1,0,0,1.0,-1,0
2016_2017,Swansea,Middlesbrough,15.0,14.0,0,1,0,0,1.0,-1,0
2016_2017,Burnley,Stoke,3.0,3.0,1,1,0,0,0.0,0,0
2016_2017,Leicester,Sunderland,3.0,3.0,1,1,0,0,0.0,0,0
2016_2017,Man United,Everton,3.0,3.0,1,1,0,0,0.0,0,0
2016_2017,Watford,West Brom,3.0,3.0,1,1,0,0,0.0,0,0
2016_2017,Arsenal,West Ham,3.0,4.0,1,1,0,0,-1.0,0,0
